Condition,Implementation_DataType,Average_Time_ms,Sample_Count
FREQUENCY_TEST,chunk__SMALL_STRING,0.006,10000
FREQUENCY_TEST,chunk__SMALL_STRING,0.006,10000
FREQUENCY_TEST,chunk__SMALL_STRING,0.006,10000
FREQUENCY_TEST,chunk__MEDIUM_STRING,0.007,10000
FREQUENCY_TEST,chunk__MEDIUM_STRING,0.007,10000
FREQUENCY_TEST,chunk__MEDIUM_STRING,0.008,10000
FREQUENCY_TEST,chunk__LARGE_STRING,0.008,10000
FREQUENCY_TEST,chunk__LARGE_STRING,0.009,10000
FREQUENCY_TEST,chunk__LARGE_STRING,0.007,10000
FREQUENCY_TEST,chunk__SMALL_INTEGER,0.010,10000
FREQUENCY_TEST,chunk__SMALL_INTEGER,0.006,10000
FREQUENCY_TEST,chunk__SMALL_INTEGER,0.006,10000
FREQUENCY_TEST,chunk__LARGE_INTEGER,0.005,10000
FREQUENCY_TEST,chunk__LARGE_INTEGER,0.008,10000
FREQUENCY_TEST,chunk__LARGE_INTEGER,0.005,10000
FREQUENCY_TEST,chunk__DECIMAL,0.005,10000
FREQUENCY_TEST,chunk__DECIMAL,0.005,10000
FREQUENCY_TEST,chunk__DECIMAL,0.005,10000
FREQUENCY_TEST,chunk__BOOLEAN,0.005,10000
FREQUENCY_TEST,chunk__BOOLEAN,0.005,10000
FREQUENCY_TEST,chunk__BOOLEAN,0.005,10000
FREQUENCY_TEST,chunk__DATE,0.005,10000
FREQUENCY_TEST,chunk__DATE,0.005,10000
FREQUENCY_TEST,chunk__DATE,0.005,10000
FREQUENCY_TEST,lfu__SMALL_STRING,0.019,10000
FREQUENCY_TEST,lfu__SMALL_STRING,0.008,10000
FREQUENCY_TEST,lfu__SMALL_STRING,0.009,10000
FREQUENCY_TEST,lfu__MEDIUM_STRING,0.010,10000
FREQUENCY_TEST,lfu__MEDIUM_STRING,0.007,10000
FREQUENCY_TEST,lfu__MEDIUM_STRING,0.010,10000
FREQUENCY_TEST,lfu__LARGE_STRING,0.009,10000
FREQUENCY_TEST,lfu__LARGE_STRING,0.012,10000
FREQUENCY_TEST,lfu__LARGE_STRING,0.011,10000
FREQUENCY_TEST,lfu__SMALL_INTEGER,0.013,10000
FREQUENCY_TEST,lfu__SMALL_INTEGER,0.010,10000
FREQUENCY_TEST,lfu__SMALL_INTEGER,0.011,10000
FREQUENCY_TEST,lfu__LARGE_INTEGER,0.012,10000
FREQUENCY_TEST,lfu__LARGE_INTEGER,0.011,10000
FREQUENCY_TEST,lfu__LARGE_INTEGER,0.011,10000
FREQUENCY_TEST,lfu__DECIMAL,0.010,10000
FREQUENCY_TEST,lfu__DECIMAL,0.012,10000
FREQUENCY_TEST,lfu__DECIMAL,0.009,10000
FREQUENCY_TEST,lfu__BOOLEAN,0.013,10000
FREQUENCY_TEST,lfu__BOOLEAN,0.016,10000
FREQUENCY_TEST,lfu__BOOLEAN,0.009,10000
FREQUENCY_TEST,lfu__DATE,0.011,10000
FREQUENCY_TEST,lfu__DATE,0.010,10000
FREQUENCY_TEST,lfu__DATE,0.010,10000
FREQUENCY_TEST,forest__SMALL_STRING,0.016,10000
FREQUENCY_TEST,forest__SMALL_STRING,0.006,10000
FREQUENCY_TEST,forest__SMALL_STRING,0.003,10000
FREQUENCY_TEST,forest__MEDIUM_STRING,0.002,10000
FREQUENCY_TEST,forest__MEDIUM_STRING,0.003,10000
FREQUENCY_TEST,forest__MEDIUM_STRING,0.002,10000
FREQUENCY_TEST,forest__LARGE_STRING,0.003,10000
FREQUENCY_TEST,forest__LARGE_STRING,0.002,10000
FREQUENCY_TEST,forest__LARGE_STRING,0.002,10000
FREQUENCY_TEST,forest__SMALL_INTEGER,0.004,10000
FREQUENCY_TEST,forest__SMALL_INTEGER,0.002,10000
FREQUENCY_TEST,forest__SMALL_INTEGER,0.002,10000
FREQUENCY_TEST,forest__LARGE_INTEGER,0.002,10000
FREQUENCY_TEST,forest__LARGE_INTEGER,0.002,10000
FREQUENCY_TEST,forest__LARGE_INTEGER,0.003,10000
FREQUENCY_TEST,forest__DECIMAL,0.003,10000
FREQUENCY_TEST,forest__DECIMAL,0.003,10000
FREQUENCY_TEST,forest__DECIMAL,0.003,10000
FREQUENCY_TEST,forest__BOOLEAN,0.003,10000
FREQUENCY_TEST,forest__BOOLEAN,0.004,10000
FREQUENCY_TEST,forest__BOOLEAN,0.003,10000
FREQUENCY_TEST,forest__DATE,0.002,10000
FREQUENCY_TEST,forest__DATE,0.003,10000
FREQUENCY_TEST,forest__DATE,0.002,10000
